content,score,at,content_sentiment,content_sentiment_num,content_sentiment_confidence
this game is awesome but it's very big size is not good that is it 30gb some device is 32 gb storage or 64gb but mine is 512 gb but it's very amazing but i hope you small the size please make it 20 or 10 gb aryaz amanj.,5,2025-06-22 02:23:50,neutral,1,0.5524283051490784
It's so fun to play and explore,5,2025-06-22 02:06:03,positive,2,0.9955060482025146
"This is truly the best game to ever exist. The characters? 10/10. The story? 10/10. and it's so so fun and interesting, I never got bored playing it! my favorite character is Venti♡, but I couldn't pull him in the previous version :( Can you please bring him back in the coming versions? PLEASE I love him so much!",5,2025-06-22 01:55:18,positive,2,0.9940272569656372
is so good,5,2025-06-22 01:50:40,positive,2,0.988021731376648
"Wow, the visuals in this project are amazing! The talent really shines through. Every little detail is so artistic, it's high definition! And the animations are so smooth, it makes it even more enjoyable. It's awesome to see this level of quality. They deserve all the success!",5,2025-06-22 01:28:03,positive,2,0.9944168329238892
"pretty nice game, but mostly p2w now. not really f2p friendly",2,2025-06-22 01:18:15,neutral,1,0.6346330046653748
"many QOLs could be implemented such as reserved resin, claiming more than once for weekly boss, crafting specific artifact pieces and buffing older characters. These all have been implemented by other hoyoverse game, why hasn't genshin?",4,2025-06-22 01:17:05,negative,0,0.9329078197479248
amazing game I love it I've been burntout lately and don't play as much as I ues to the only problem with this game is the lack off primos and the vioces being mute but I think the vioces will return soon I don't mind since I just skip quest now,4,2025-06-22 00:56:00,positive,2,0.8083375692367554
because many primos to need cerecter but game event is small primos you get many hard work but faild lose primos in 50/50,1,2025-06-22 00:55:01,negative,0,0.8730095028877258
"i truly loved this game, its music, the main stories, and the character were suxh an interesting ans fun experience but sadly as time passed, i felt some of the side quests or too dragy and farming became boring, it was still enjoyable when new update came out or when new characters dropped bit now i also have less storage space on my new phone so sadly i have to delete this app.",5,2025-06-22 00:49:23,neutral,1,0.3873533308506012
Amazing,5,2025-06-22 00:46:05,positive,2,0.9365832209587096
The game is awesome I can't believe that it on mobile and this good but it still needs more optimisations on mobile sometimes my character lags and stuff occasionally but it nothing significant,5,2025-06-22 00:21:11,neutral,1,0.5753602981567383
"Hey developers, my adventure exp reads 5110/4575 and is stuck at adventure rank 25, not carrying over into rank 26. Please fix...... :)Edit: It was my fault, Ascension quest hadn't been beat yet 😂",5,2025-06-22 00:16:26,negative,0,0.991606593132019
"Fun gacha, smooth gameplay, fights are Addicting and the plot just keeps getting better especially after not playing for 2 years so I have tons of content to catch up on",5,2025-06-22 00:16:01,positive,2,0.9927934408187866
this new update doesn't let me download the resources. the confirm button is just diminished. it doesn't work. im quitting genshin forever,1,2025-06-22 00:13:14,negative,0,0.9733532071113586
giving it back since paimon va got replace.,5,2025-06-22 00:01:18,neutral,1,0.5746368765830994
"Idk about these complains, I love this game. I play genshin to escape reality and look at my favorite characters all the time, it feels so surreal and exciting.",5,2025-06-21 23:48:45,positive,2,0.9827371835708618
BEST GAME BUT ADD CLOUD GAMING FEATURE IN INDIA 🔥,5,2025-06-21 23:41:13,positive,2,0.8608847260475159
"Such a greedy company. Giving low rewards each patch while making half-baked characters. The character designs is ugly, too much fanservice 🤮, the ratio between men and women characters are just bad. Give us an actual good written and visually designed characters while increasing the chance to get a new character. Make more male characters to balance the ratio and give us players more rewards. Even the events are getting boring every patch.",1,2025-06-21 23:39:02,negative,0,0.9969038367271424
it good,5,2025-06-21 23:35:09,positive,2,0.8867297768592834
cool game free 10,5,2025-06-21 23:29:33,positive,2,0.9776669144630432
trash game,1,2025-06-21 23:26:31,negative,0,0.9936515092849731
nice game,5,2025-06-21 23:13:50,positive,2,0.8704322576522827
best game,5,2025-06-21 23:13:38,positive,2,0.9188456535339355
bad devs,1,2025-06-21 23:03:00,negative,0,0.891244113445282
worst game you can ever play trust me just dont install to begin with only creates an unhealthy addiction and a toxic Fandom the devs dont care i promise you just no dont install its better off that way play something else,1,2025-06-21 22:32:23,negative,0,0.9573087096214294
wow. its good,5,2025-06-21 22:09:29,positive,2,0.9879853129386902
Wuwa trash 👍,5,2025-06-21 21:50:25,negative,0,0.990022599697113
great I love gambling,5,2025-06-21 21:46:41,positive,2,0.6128066778182983
"It's very boring 😴, I completed all archon quests within a month (unending bs story).",1,2025-06-21 21:45:45,negative,0,0.9954850673675536
Idk what to say,5,2025-06-21 21:38:12,neutral,1,0.9060250520706176
"I JUST SAW A FEW THINGS YOU DID IN HSR BRO GIVE US SOMETHING... please stop with the lame rewards, so low QoL, give us new features, you owe that to this game who made you famous",1,2025-06-21 21:31:58,neutral,1,0.618947446346283
fun but I lost raiden shogun to diluc,5,2025-06-21 21:29:31,neutral,1,0.6460215449333191
"This is a Very awesome amazing game but this game graphic's have a little lag, Even my RAM 6GB and graphic card 4GB but this is a Very impressive game 🫂👍🏻",5,2025-06-21 21:26:35,neutral,1,0.4584250450134277
best rpg.,5,2025-06-21 21:26:00,positive,2,0.978525698184967
it is amazing the graphics are great and there are lots of adventure like this game 😁,5,2025-06-21 21:22:16,positive,2,0.9908273816108704
Gak niat ngasih hadiah anniversary,5,2025-06-21 20:34:06,neutral,1,0.6478755474090576
it's so good and better than anything I've ever played in my opinion,5,2025-06-21 20:31:43,positive,2,0.9953906536102296
I keep refilling my Storage But I can't log in This is horrible,1,2025-06-21 20:15:59,negative,0,0.9879604578018188
good but boring,4,2025-06-21 20:14:21,neutral,1,0.7905121445655823
Add dialogue skip,1,2025-06-21 20:03:27,neutral,1,0.5230633020401001
"It's probably just me, but i've been playing for years and every new update and archon quest i feel less excited and invested for. That does not mean that the game doesn't have a good story though. Personally, the direction genshin is stirred in doesn't alighn with me anymore and i feel gradually dissapointed by the game. That being said, i hope it continues to satisfy the players that are happy with the current version of the game, but for me, i cannot see myself playing it anymore.",1,2025-06-21 19:44:21,positive,2,0.7304080724716187
I'm madly in love with Venti,5,2025-06-21 19:34:20,positive,2,0.9080257415771484
nice game,5,2025-06-21 19:33:06,positive,2,0.8704322576522827
game is very fun! now give me another albedo rerun.,5,2025-06-21 19:31:32,positive,2,0.8812114596366882
"Big game but mobile friendly, so you could play with old device as well. If you still can't, try Genshin Cloud instead.",5,2025-06-21 19:23:31,neutral,1,0.6935854554176331
trash,1,2025-06-21 19:21:23,negative,0,0.9788740277290344
overall this game has a breathtakingly beautiful design and wonderful music and lore. i love exploring and hanging out with friends. i just encountered a small issue where the game is crashing whenever i try to open it since the last system update of my phone. i'm not sure what the cause is but i think this is not hoyo's fault. i will update the rating to 5 stars as soon as it's resolved,4,2025-06-21 19:05:20,positive,2,0.9860835671424866
"The game itself is great, doesn't lag or stutter at the highest settings. One thing I'd like to say is that the amount of pulls available in a patch are much lower than other gachas.",4,2025-06-21 18:50:31,positive,2,0.8378444314002991
very good game with amazing graphics but needs so much storage and loading,5,2025-06-21 18:30:24,positive,2,0.9852449297904968
"I came back to download genshin because of Skirk, I just couldn't help but admire! I couldn't believe how far genshin has come... I joined since 3.4 and now we're at 5.7? That's a incredible. Skirk's design is so gorgeous, I can take my eyes off of it! I love the new updates, the experience, everything! Hoyoverse really knows how to make players satisfied again.",5,2025-06-21 18:15:20,positive,2,0.981779396533966
nerf the envisaged echo challenge rn,1,2025-06-21 18:14:52,neutral,1,0.5965146422386169
It has religiuos stuff which I dont like I used to play it but not now sorry,1,2025-06-21 18:10:40,neutral,1,0.7519731521606445
hoyo only cares about money and they are ruining the game by replacing iconic VAs. it's ruined.,1,2025-06-21 18:05:24,negative,0,0.9848254323005676
"the graphics were good..the fighting was epic.I always upgrade my character, finding a lot of material. Although,It may took a long process just to reach ar60.It was a lot of story and experience.",5,2025-06-21 17:56:15,positive,2,0.980793595314026
I uninstalled almost all of my games just to playing this game but it's worth it,3,2025-06-21 17:47:11,positive,2,0.967125654220581
A very legendary game!,5,2025-06-21 17:43:07,positive,2,0.8599622249603271
لعبه خايسه,1,2025-06-21 17:40:07,neutral,1,0.3864839971065521
I want to report that the game is not working and stops. Do you have a solution to the problem?,1,2025-06-21 17:22:25,negative,0,0.936543107032776
worst,1,2025-06-21 17:04:25,negative,0,0.8136426210403442
i love this game expecially the high grapics although its kinda laggy for my tablet but still a five star ror me!,5,2025-06-21 16:56:16,positive,2,0.9238989353179932
Good graphics and story line but the wish system and primogem collection is too costly and time consuming.,4,2025-06-21 16:46:58,neutral,1,0.480487048625946
this is very Nice game I play a journey and I enjoy it,5,2025-06-21 16:45:15,positive,2,0.9915297031402588
"hope they retcon natlan story,so disappointing, too elementary, the entire main questline is very childish.",2,2025-06-21 16:20:39,negative,0,0.856113612651825
Love the main quest stories by the way.,5,2025-06-21 16:20:04,positive,2,0.9876004457473756
great game but how can we transfer our data from PlayStation to mobile,5,2025-06-21 16:12:08,positive,2,0.5429642796516418
it's really good game but there is so many very very loooooongggg conversation between characters and there is no skip option and the disaster comes in the time that u lost your connection between or in the end of conversation. they repeat all of it again! I don't want that conversations give me a brief and skip option!,4,2025-06-21 16:04:33,positive,2,0.5259895324707031
idk i js like kaveh lmao,5,2025-06-21 15:38:43,positive,2,0.5448358058929443
"started off as the most enjoyable rpg game with so much lore and top tier graphic environment for a free mobile game but for me personally the character design was such a turn off lately, just no, the obsessions for female chars is just too much and the sleeveless clothes ahh designs makes it just not so special anymore, my advice is please make more male char! uve had enough of female char already man....",1,2025-06-21 15:16:48,negative,0,0.841903805732727
bast anime game ❤️❤️❤️😊👊,5,2025-06-21 14:58:36,positive,2,0.825202465057373
nice,5,2025-06-21 14:57:53,positive,2,0.7540208101272583
nice,5,2025-06-21 14:53:10,positive,2,0.7540208101272583
it is awsome regards,5,2025-06-21 14:45:59,positive,2,0.6315703988075256
"I'm starting to hate this game 🙂, it took me 70-80 draws just to get a character that is not normal anymore hoyo. 🙂",1,2025-06-21 14:38:51,negative,0,0.9533772468566896
good,5,2025-06-21 14:23:49,positive,2,0.8451583385467529
"very nice game The story the characters background music and themes, missions they all are very nice 👍👍",5,2025-06-21 14:04:41,positive,2,0.9961142539978028
"Worst co-op experience, it loads for eternity. And then again start loading. I can never enjoy co-op mode due to this bug. I play on PC, I'm here only to report my issue regarding PC application of Genshin Impact.",1,2025-06-21 13:34:29,negative,0,0.9556267261505128
"This game is spectacular.. has awesome storilies, characters and stunning visuals.",5,2025-06-21 13:32:59,positive,2,0.993707239627838
角色建模好看，技能数值不错，剧情超好看,5,2025-06-21 13:20:19,neutral,1,0.3864839971065521
not have a special item,1,2025-06-21 13:02:01,negative,0,0.6369011998176575
good,5,2025-06-21 12:39:38,positive,2,0.8451583385467529
I was love this game from 1.1 till 3.4 The prob is when nabiya or something said harut n marut is demon or something like that Actually l am muslim n l believe harutmarut was an angel send by almighty God to earth n this story was based on kitabul AL-QURAN.hope hoyovers can change this,4,2025-06-21 12:34:10,positive,2,0.9157515168190002
"You really can't recreate your first time experiencing the world of Teyvat, and I had a blast. The graphics and characters and cutscenes are really incredible. My problem comes with tedious artifact farming as well as struggles getting 5-stars past C1 for better efficiency (requiring a LOT of grind time or in-game purchases), which is why I've put this game to rest. But if you're willing to look past all that and the storage requirement, then go right ahead!",3,2025-06-21 12:31:42,negative,0,0.5373070240020752
"Sudah mau 5 tahun tapi tidak ada perkembangan baik QOL, gestur ketika dialog, dan banyak lagi. Eksekusi dalam game semakin jelek dan kelihatan malas.",1,2025-06-21 12:25:47,positive,2,0.8350393176078796
a good game.,5,2025-06-21 12:13:32,positive,2,0.9579858779907228
I love genshin it has many features and has many stuff to do especially spinning characters although is kinda hard to get stone to spin 💪,5,2025-06-21 11:51:51,positive,2,0.9752885699272156
